orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
11.7235,51.9887,-190.5809,13.3336,56.1183,-188.0481
50.8812,-37.3897,-231.9618,54.7207,-39.8446,-235.1071
66.461,-26.7747,-202.977,72.0942,-28.4522,-203.2727
78.2484,28.5389,-195.3525,85.5881,31.9279,-193.6168
-5.3205,-12.7871,-206.3832,-5.4839,-14.4298,-206.3546
-19.2302,-94.2144,-214.2292,-20.5886,-103.4282,-214.7201
-15.7497,48.4622,-197.6919,-16.9286,52.346,-195.9488
0.9991,-42.6091,-230.235,0.9044,-46.6398,-233.0828
61.4528,-49.0057,-227.3313,65.8443,-52.2358,-230.1892
56.7967,60.2425,-209.0123,62.9778,65.3206,-208.4689
50.4081,83.5984,-224.6901,55.9131,89.4309,-225.1978
-59.0832,8.6026,-195.9248,-63.6425,9.3137,-193.917
-61.4698,56.3846,-190.8982,-66.674,60.4529,-187.9196
71.0224,25.1721,-215.8344,77.857,28.4107,-216.4417
-75.7148,57.3693,-208.96,-82.514,61.7394,-207.4247
47.4207,51.1603,-228.1058,52.357,55.4571,-229.5988
11.8019,38.8273,-200.6865,13.4619,42.2375,-199.5767
-34.3863,5.1067,-235.6988,-37.1737,5.7468,-238.5143
-61.7295,-36.4429,-198.8934,-66.1679,-40.1339,-197.6983
1.7192,69.5226,-219.6825,2.1829,74.605,-220.5865
16.4497,-0.3577,-224.4796,18.0334,-0.2319,-226.8679
34.5524,89.7639,-190.8324,38.7928,95.7781,-188.4177
-38.3058,38.0316,-227.094,-41.6546,41.0975,-228.6367
2.2794,-4.5026,-235.101,2.3174,-4.9671,-238.1941
-26.1431,-19.2916,-206.2197,-28.0643,-21.3533,-206.0119
38.8193,85.3522,-230.2806,43.0328,91.0812,-231.3536
-91.118,1.3323,-217.5892,-98.2295,2.3532,-217.594
60.9967,-36.1205,-237.4124,65.4921,-37.9731,-240.7987
-66.136,-49.4543,-197.9346,-70.6371,-54.4645,-196.7122
-19.2463,-16.728,-200.9733,-20.5353,-18.678,-200.0409
18.5971,93.8914,-236.2005,20.473,99.6862,-237.6855
-8.3728,-95.7937,-231.9014,-9.1884,-104.3837,-233.883
22.0451,-20.6979,-226.1974,23.9639,-22.5838,-228.858
-27.7679,41.1961,-196.2379,-30.037,44.5114,-194.2394
-33.005,-56.3044,-215.828,-35.4429,-62.0098,-216.854
-25.9056,-25.2509,-212.7753,-27.8997,-27.8473,-213.5111
-59.3692,12.482,-192.5595,-63.9333,13.4555,-190.1224
69.5282,-8.2037,-233.5093,75.2438,-7.5549,-236.2536
-55.5022,-69.0596,-203.6114,-59.0603,-76.1082,-203.072
53.4017,-50.9879,-209.7348,57.3972,-55.2896,-210.9989
-57.4178,47.6388,-195.2014,-62.2678,51.279,-192.7514
-24.1483,-58.508,-192.8762,-25.8288,-64.8296,-191.0309
5.4511,22.8364,-225.666,6.1777,25.0676,-227.8232
39.9816,36.7433,-194.5437,44.3094,40.0187,-192.6435
18.982,-53.2242,-222.2312,20.1711,-58.2339,-224.4623
-34.3954,42.5971,-219.2182,-37.4164,46.0639,-220.0268
-92.7992,27.9562,-225.4239,-100.4319,30.8534,-225.2069
-78.13,61.7457,-229.898,-85.2307,66.0988,-229.6018
-17.0969,17.7826,-205.5236,-18.3153,19.5519,-205.1288
42.8066,63.9575,-208.0652,47.7552,69.0838,-207.5727
36.1137,86.2888,-230.6107,40.0382,92.03,-231.7344
-81.2466,-50.489,-191.8587,-86.5044,-55.3768,-190.0369
-33.2623,-90.4733,-199.8575,-35.3108,-99.6591,-198.7922
-21.8364,-18.7226,-217.4477,-23.5183,-20.5744,-218.7613
